fight_url,round,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/970f083af8368f57,1,Cody Gibson Aoriqileng,,,,1 of 1 5 of 7,,,,,3 of 3 2 of 2,,,0
http://ufcstats.com/fight-details/668a44403a130043,3,Bruno Silva HyunSung Park,,,,13 of 25 5 of 20,,,,,19 of 32 7 of 26,,,0
http://ufcstats.com/fight-details/096e00355c8c84ac,3,Danny Barlow Djorden Santos,,,,8 of 24 17 of 37,,,,,32 of 49 27 of 49,,,0
http://ufcstats.com/fight-details/8d9458121f0c4b95,3,Stephanie Luciano Ravena Oliveira,,,,6 of 26 10 of 40,,,,,22 of 52 14 of 53,,,0
http://ufcstats.com/fight-details/87ac0e5face106b4,3,Azamat Bekoev Yousri Belgaroui,,,,7 of 27 25 of 38,,,,,9 of 29 35 of 49,,,0
http://ufcstats.com/fight-details/dec301fd5e99ca46,3,Melissa Croden Tainara Lisboa,,,,16 of 41 13 of 43,,,,,26 of 53 17 of 48,,,0
http://ufcstats.com/fight-details/79865287be90e4be,2,Charles Oliveira Mateusz Gamrot,,,,0 of 4 3 of 6,,,,,3 of 8 4 of 7,,,0
http://ufcstats.com/fight-details/f295eb2a7b0ba4b7,3,Deiveson Figueiredo Montel Jackson,,,,0 of 4 4 of 14,,,,,7 of 12 7 of 18,,,0
http://ufcstats.com/fight-details/6188b7fb3f8daacc,3,Vicente Luque Joel Alvarez,,,,11 of 51 30 of 56,,,,,21 of 65 38 of 67,,,0
http://ufcstats.com/fight-details/03377f7bf8a2d5ff,2,Jhonata Diniz Mario Pinto,,,,0 of 1 11 of 13,,,,,1 of 2 2 of 2,,,0
http://ufcstats.com/fight-details/2aef1a91d26dde42,1,Ricardo Ramos Kaan Ofli,,,,1 of 2 0 of 0,,,,,1 of 4 1 of 1,,,0
http://ufcstats.com/fight-details/cff0abc02974fb4a,1,Lucas Almeida Michael Aswell Jr.,,,,3 of 14 30 of 53,,,,,9 of 21 19 of 37,,,0
http://ufcstats.com/fight-details/766b0b26c40525de,1,Jafel Filho Clayton Carpenter,,,,1 of 6 2 of 9,,,,,4 of 11 5 of 18,,,0
http://ufcstats.com/fight-details/a815dafc89adf33b,3,Vitor Petrino Thomas Petersen,,,,13 of 19 0 of 4,,,,,3 of 6 0 of 3,,,0
http://ufcstats.com/fight-details/546f971f9d8e0a33,2,Bia Mesquita Irina Alekseeva,,,,35 of 57 2 of 8,,,,,2 of 6 3 of 13,,,0
http://ufcstats.com/fight-details/434abaea90ccd299,3,Lucas Rocha Stewart Nicoll,,,,9 of 32 11 of 35,,,,,14 of 37 14 of 38,,,0
http://ufcstats.com/fight-details/c547b3e95bcc5f24,3,Julia Polastri Karolina Kowalkiewicz,,,,31 of 67 7 of 40,,,,,43 of 80 21 of 60,,,0
http://ufcstats.com/fight-details/0f9e7d0d04e24b74,2,Luan Lacerda Saimon Oliveira,,,,3 of 11 1 of 1,,,,,1 of 6 4 of 5,,,0
http://ufcstats.com/fight-details/0de1ef0b9f3a79c0,1,Magomed Ankalaev Alex Pereira,,,,0 of 4 21 of 35,,,,,4 of 9 5 of 12,,,0
http://ufcstats.com/fight-details/a8511df8285f5c91,5,Merab Dvalishvili Cory Sandhagen,,,,9 of 42 14 of 39,,,,,10 of 45 27 of 53,,,0
http://ufcstats.com/fight-details/2560ea97b2cce4ef,3,Jiri Prochazka Khalil Rountree Jr.,,,,7 of 17 9 of 22,,,,,12 of 24 15 of 32,,,0
http://ufcstats.com/fight-details/84ebd144d5e79c88,1,Josh Emmett Youssef Zalal,,,,0 of 0 0 of 1,,,,,0 of 0 0 of 1,,,0
http://ufcstats.com/fight-details/d006dd2513bd376d,2,Abus Magomedov Joe Pyfer,,,,6 of 7 1 of 3,,,,,3 of 4 1 of 3,,,0
http://ufcstats.com/fight-details/9418ebb3db2a4bae,1,Ateba Gautier Tre'ston Vines,,,,4 of 10 0 of 0,,,,,1 of 5 0 of 1,,,0
http://ufcstats.com/fight-details/7b34aa1eb09b8301,2,Daniel Santos JooSang Yoo,,,,6 of 26 14 of 34,,,,,17 of 46 27 of 48,,,0
http://ufcstats.com/fight-details/b09ecdc8ef0f0d20,3,Patchy Mix Jakub Wiklacz,,,,2 of 3 7 of 12,,,,,5 of 8 9 of 19,,,0
http://ufcstats.com/fight-details/1c7cc3a22ab7d907,1,Edmen Shahbazyan Andre Muniz,,,,20 of 45 6 of 20,,,,,12 of 27 15 of 38,,,0
http://ufcstats.com/fight-details/a951090fb402fd20,3,Punahele Soriano Nikolay Veretennikov,,,,21 of 28 1 of 1,,,,,0 of 2 2 of 2,,,0
http://ufcstats.com/fight-details/8353b491afa7bc32,3,Macy Chiasson Yana Santos,,,,5 of 19 10 of 25,,,,,8 of 26 10 of 25,,,0
http://ufcstats.com/fight-details/e53fd165a3bc1f8e,3,Chris Gutierrez Farid Basharat,,,,1 of 2 2 of 9,,,,,3 of 7 7 of 20,,,0
http://ufcstats.com/fight-details/b98bc1ecb94ef4a5,2,Ramiz Brahimaj Austin Vanderford,,,,2 of 8 3 of 10,,,,,4 of 13 3 of 11,,,0
http://ufcstats.com/fight-details/98883348ddb3be33,3,Veronica Hardy Brogan Walker,,,,8 of 19 1 of 9,,,,,5 of 13 2 of 8,,,0
http://ufcstats.com/fight-details/a3ee907c77544cde,1,Carlos Ulberg Dominick Reyes,,,,6 of 9 0 of 5,,,,,9 of 15 5 of 11,,,0
http://ufcstats.com/fight-details/f5fb8b182020c59d,1,Jimmy Crute Ivan Erslan,,,,3 of 7 9 of 13,,,,,9 of 12 10 of 14,,,0
http://ufcstats.com/fight-details/38248c5d13f273e6,3,Jack Jenkins Ramon Taveras,,,,14 of 33 11 of 34,,,,,29 of 52 16 of 43,,,0
http://ufcstats.com/fight-details/1ff24d5f760e0491,3,Jake Matthews Neil Magny,,,,4 of 14 16 of 30,,,,,8 of 18 18 of 31,,,0
http://ufcstats.com/fight-details/8abad36b4c5e4070,1,Tom Nolan Charlie Campbell,,,,13 of 35 7 of 30,,,,,23 of 55 14 of 39,,,0
http://ufcstats.com/fight-details/dc31d3260dea7dcf,3,Navajo Stirling Rodolfo Bellato,,,,21 of 37 4 of 17,,,,,32 of 56 13 of 30,,,0
http://ufcstats.com/fight-details/93a0a19c2c1cfe66,1,Cam Rowston Andre Petroski,,,,8 of 31 0 of 4,,,,,8 of 19 7 of 13,,,0
