fight_url,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/546f971f9d8e0a33,Bia Mesquita Irina Alekseeva,,,,62% 23%,,,,,100% ---,,,227
http://ufcstats.com/fight-details/434abaea90ccd299,Lucas Rocha Stewart Nicoll,,,,37% 36%,,,,,--- 16%,,,9
http://ufcstats.com/fight-details/c547b3e95bcc5f24,Julia Polastri Karolina Kowalkiewicz,,,,56% 36%,,,,,--- 0%,,,46
http://ufcstats.com/fight-details/0f9e7d0d04e24b74,Luan Lacerda Saimon Oliveira,,,,50% 75%,,,,,100% 50%,,,218
http://ufcstats.com/fight-details/0de1ef0b9f3a79c0,Magomed Ankalaev Alex Pereira,,,,44% 62%,,,,,0% ---,,,0
http://ufcstats.com/fight-details/a8511df8285f5c91,Merab Dvalishvili Cory Sandhagen,,,,23% 50%,,,,,25% ---,,,52
http://ufcstats.com/fight-details/2560ea97b2cce4ef,Jiri Prochazka Khalil Rountree Jr.,,,,50% 46%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/84ebd144d5e79c88,Josh Emmett Youssef Zalal,,,,--- 0%,,,,,--- 100%,,,16
http://ufcstats.com/fight-details/d006dd2513bd376d,Abus Magomedov Joe Pyfer,,,,91% 33%,,,,,100% 0%,,,156
http://ufcstats.com/fight-details/9418ebb3db2a4bae,Ateba Gautier Tre'ston Vines,,,,50% 0%,,,,,100% 0%,,,4
http://ufcstats.com/fight-details/7b34aa1eb09b8301,Daniel Santos JooSang Yoo,,,,36% 57%,,,,,50% ---,,,78
http://ufcstats.com/fight-details/b09ecdc8ef0f0d20,Patchy Mix Jakub Wiklacz,,,,62% 54%,,,,,100% ---,,,108
http://ufcstats.com/fight-details/1c7cc3a22ab7d907,Edmen Shahbazyan Andre Muniz,,,,50% 39%,,,,,--- 33%,,,39
http://ufcstats.com/fight-details/a951090fb402fd20,Punahele Soriano Nikolay Veretennikov,,,,70% 85%,,,,,33% 0%,,,245
http://ufcstats.com/fight-details/8353b491afa7bc32,Macy Chiasson Yana Santos,,,,42% 62%,,,,,0% ---,,,0
http://ufcstats.com/fight-details/e53fd165a3bc1f8e,Chris Gutierrez Farid Basharat,,,,42% 37%,,,,,--- 100%,,,0
http://ufcstats.com/fight-details/b98bc1ecb94ef4a5,Ramiz Brahimaj Austin Vanderford,,,,30% 33%,,,,,--- 100%,,,0
http://ufcstats.com/fight-details/98883348ddb3be33,Veronica Hardy Brogan Walker,,,,45% 46%,,,,,--- 100%,,,156
http://ufcstats.com/fight-details/a3ee907c77544cde,Carlos Ulberg Dominick Reyes,,,,64% 45%,,,,,--- ---,,,3
http://ufcstats.com/fight-details/f5fb8b182020c59d,Jimmy Crute Ivan Erslan,,,,75% 71%,,,,,50% ---,,,128
http://ufcstats.com/fight-details/38248c5d13f273e6,Jack Jenkins Ramon Taveras,,,,57% 37%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/1ff24d5f760e0491,Jake Matthews Neil Magny,,,,45% 56%,,,,,--- 50%,,,22
http://ufcstats.com/fight-details/8abad36b4c5e4070,Tom Nolan Charlie Campbell,,,,42% 35%,,,,,100% 0%,,,34
http://ufcstats.com/fight-details/dc31d3260dea7dcf,Navajo Stirling Rodolfo Bellato,,,,59% 45%,,,,,0% ---,,,58
http://ufcstats.com/fight-details/93a0a19c2c1cfe66,Cam Rowston Andre Petroski,,,,33% 53%,,,,,--- ---,,,36
http://ufcstats.com/fight-details/e2dc4fb7b5c0ce76,Jamie Mullarkey Rolando Bedoya,,,,37% 50%,,,,,100% ---,,,229
http://ufcstats.com/fight-details/81127436605d3c88,Colby Thicknesse Josias Musasa,,,,57% 44%,,,,,16% 50%,,,163
http://ufcstats.com/fight-details/44cd8c9f622e155f,Michelle Montague Luana Carolina,,,,31% 66%,,,,,50% ---,,,164
http://ufcstats.com/fight-details/140937779a2466a7,Brando Pericic Elisha Ellison,,,,59% 33%,,,,,--- 0%,,,29
http://ufcstats.com/fight-details/e35f7504d83b8b07,Loma Lookboonmee Alexia Thainara,,,,71% 50%,,,,,0% 50%,,,0
http://ufcstats.com/fight-details/de1a3734be60e6a1,Diego Lopes Jean Silva,,,,55% 50%,,,,,100% ---,,,118
http://ufcstats.com/fight-details/944b929130b23c2a,Rob Font David Martinez,,,,21% 48%,,,,,0% 0%,,,20
http://ufcstats.com/fight-details/7cbfeba85f86d1bf,Rafa Garcia Jared Gordon,,,,53% 35%,,,,,100% 0%,,,24
http://ufcstats.com/fight-details/114d2f6fcd3f6f00,Kelvin Gastelum Dustin Stoltzfus,,,,56% 48%,,,,,--- 100%,,,3
http://ufcstats.com/fight-details/202c47db69768356,Alexander Hernandez Diego Ferreira,,,,33% 20%,,,,,--- ---,,,0
